country,time,pi,pineg,pizlb,di,dineg,dizlb,rstar,intb,r08,bbs,m3,loan,hpi,gdpcap,gdpgrow,u,cspend,cconf,inflat,ptax,trade,gdpcaplog
1,1,2,0,0,1.25,0,0,0.383712565,2.15,0,,180341.59,544124.73,,44637.8564,0.6,7.9,38847.382,-9.9,2.9,50,-197.29,43677.2
1,2,2,0,0,1.25,0,0,0.355190743,2.11,0,,190161.4,574836.57,,44637.8564,0.9,6.1,39107.02,-10.3,2.3,50,202.74,43995.1
1,3,2,0,0,1.25,0,0,0.274978741,2.18,0,,191726.64,592678.78,,44637.8564,0.9,6.3,39515.988,-16.1,2.4,50,-348.8,44315.3
1,4,2.25,0,0,1.25,0,0,0.524555127,2.49,0,,199184.42,607666.28,,44637.8564,0.9,8.8,39691.914,-11.1,1.6,50,-658.36,44637.9
1,5,2.25,0,0,1.5,0,0,0.315458391,2.82,0,,202520.91,636527.3,,45951.7347,0.9,7.8,39759.712,-7.3,1,50,407.66,44962.8
1,6,2.5,0,0,1.75,0,0,0.544099475,3.06,0,,210958.6,646252.28,,45951.7347,0.9,5.6,40177.509,-6.1,1.5,50,33.79,45290
1,7,3,0,0,2,0,0,0.954007163,3.42,0,,213200.73,663593.09,,45951.7347,0.9,5.6,40328.147,-4.5,1.2,50,-56.68,45619.7
1,8,3.25,0,0,2.5,0,0,1.201696102,3.73,0,,218972.28,673421.62,,45951.7347,1,7.9,40366.406,-7.2,1.3,50,80.66,45951.7
1,9,3.5,0,0,2.75,0,0,1.383995826,3.92,0,,224958.56,691311.79,,47510.2938,1,6.7,40483.254,-4,1.8,50,115.54,46336.5
1,10,3.75,0,0,3,0,0,1.679392895,4.18,0,,233458.38,710051.07,,47510.2938,0.8,5.2,40570.127,-0.9,1.9,50,310.65,46724.5
1,11,4,0,0,3,0,0,1.725774913,4.79,0,,243228.05,720048.55,,47510.2938,0.6,5.2,40345.369,-2.2,2.1,50,-379.32,47115.8
1,12,4,0,0,3,0,0,1.657931835,4.68,0,,259522.46,740495.86,,47510.2938,0.5,7.4,40674.113,-9.1,3.4,50,-510.12,47510.3
1,13,4,0,0,3,0,0,1.980490156,4.73,0,,269998.45,749070.89,,48053.4831,0.4,5.8,40873.91,-14.9,3.4,50,-116.63,47645.5
1,14,4,0,0,3,0,0,2.128041598,4.95,0,,272456.4,772318.41,,48053.4831,-0.1,4.8,40621.793,-21.9,3.9,50,-138.43,47781.1
1,15,4.25,0,0,2.75,0,0,2.972218052,5.28,0,,276851.28,787919.58,,48053.4831,-0.6,5,40706.159,-18.6,3.8,50,46.87,47917.1
1,16,3.25,0,0,2,0,0,2.73502829,2.89,1,,289124.68,795981.22,,48053.4831,-1.1,7.9,40950.973,-21.4,1.4,50,-1004.98,48053.5
1,17,2,0,0,0.5,0,0,1.379825017,1.51,1,,282859.36,788006.78,101.5,46123.4907,-1.1,7.5,40684.468,-21.1,0.8,50,-367.33,47563.6
1,18,1,0,0,0.25,0,0,0.308405742,1.1,1,,279656.94,783469.11,101,46123.4907,-0.6,6.3,41378.907,-15.7,0,50,-100.28,47078.6
1,19,1,0,0,0.25,0,0,0.230575085,0.75,1,,278492.82,786060.04,95.9,46123.4907,0,6.4,41279.826,-8.3,0.2,50,-486.14,46598.6
1,20,1,0,0,0.25,0,0,0.197849021,0.7,1,,276238.7,783000.41,99.1,46123.4907,0.2,8.6,41122.757,-4.7,1.2,50,-831.67,46123.5
1,21,1,0,0,0.25,0,0,0.055349368,0.63,0,,271732.64,790330.66,74.05,46858.0433,0.3,7.3,41335.961,-7.4,1.9,50,-428.37,46306
1,22,1,0,0,0.25,0,0,-0.055881784,0.77,0,,275761.28,805681.13,76.54,46858.0433,0.7,5.9,41174.859,-7.1,2,50,-202.74,46489.3
1,23,1,0,0,0.25,0,0,-0.009312818,0.89,0,,279689.64,799837.64,78.16,46858.0433,0.9,5.9,41767.056,-2.6,1.7,50,-673.62,46673.3
1,24,1,0,0,0.25,0,0,-0.151783832,1.01,0,,273542.04,805220.06,78.44,46858.0433,0.9,8.2,41745.474,-4.7,2.2,50,-683.43,46858
1,25,1,0,0,0.5,0,0,-0.156198004,1.24,0,,277821.38,805605.92,79.01,48065.3167,0.8,6.9,41645.957,-5.2,3.1,50,-616.94,47157
1,26,1.25,0,0,0.75,0,0,0.301367576,1.55,0,,277367.94,808956.58,81.05,48065.3167,0.6,5.7,42011.761,-5.6,3.3,50,-649.64,47457.8
1,27,1.5,0,0,0.5,0,0,0.544108525,1.55,0,,279993.75,818993.3,82.83,48065.3167,0.3,5.9,42257.665,-14.5,3.7,50,-715.04,47760.6
1,28,1,0,0,0.25,0,0,0.234935384,1.36,0,,283390.19,835982.04,83.5,48065.3167,0.3,8.2,42715.683,-17,3.3,50,-942.85,48065.3
1,29,1,0,0,0,0,1,0.292900906,0.78,0,,292778.36,833970.99,85.5,48172.2377,0.2,7.1,42903.381,-15.9,2.7,50,-860.01,48092
1,30,1,0,0,0,0,1,0.437306878,0.65,0,,291957.59,842041.35,86.75,48172.2377,-0.1,5.9,42422.146,-12.8,2.2,50,-826.22,48118.8
1,31,0.75,0,0,0,0,1,0.218744942,0.22,0,,289473.48,844538.54,89.14,48172.2377,-0.1,6.1,42353.476,-16.4,2.7,50,-165.68,48145.5
1,32,0.75,0,0,0,0,1,0.481950298,0.19,0,,291625.14,851937.46,88.89,48172.2377,0,8.6,41964.128,-12.8,2.8,50,-748.83,48172.3
1,33,0.75,0,0,0,0,1,0.402548152,0.21,0,,292926.6,844177.75,90.37,47901.3654,0,7.8,42081.303,-9.8,2.3,50,-494.86,48104.4
1,34,0.5,0,0,0,0,1,0.236589055,0.22,0,,294654.25,837251.89,91.74,47901.3654,0.1,6.5,42324.482,-11.1,2.2,50,-161.32,48036.6
1,35,0.5,0,0,0,0,1,0.450707704,0.23,0,,292458.99,829537.96,94.48,47901.3654,0.2,6.9,42273.361,-7.9,1.7,50,-334.63,47968.9
1,36,0.25,0,0,0,0,1,0.121772519,0.29,0,,297694.26,820172.68,91.81,47901.3654,0.2,9.5,42305.734,-8.8,1.9,50,-620.21,47901.4
1,37,0.25,0,0,0,0,1,0.342569975,0.31,0,,297172.15,822700.39,94.32,47842.7,0.1,8.4,42467.272,-9.2,1.7,50,56.68,47886.7
1,38,0.15,0,0,-0.1,1,0,0.159200238,0.21,0,,298676.35,821899.24,95.83,47842.7,0.1,7.4,42218.425,-8.9,1.9,50,-68.67,47872
1,39,0.05,0,0,-0.2,1,0,0.034660654,0.08,0,,300765.88,828890.5,95.14,47842.7,0.2,7.6,42372.987,-11.4,1.6,50,7.63,47857.4
1,40,0.05,0,0,-0.2,1,0,-0.094634762,0.08,0,,310348.07,804144.23,96.03,47842.7,0.2,10.2,42199.786,-8.3,1,50,-147.15,47842.7
1,41,0.05,0,0,-0.2,1,0,-0.15598449,0.02,0,,312271.92,823284.63,93.88,47850.2,0.2,9.3,47415.436,-8.5,1,50,69.76,47844.6
1,42,0.05,0,0,-0.2,1,0,-0.135032732,-0.01,0,,312489.92,811206.34,99.89,47850.2,0.4,8.3,47234.169,-9.3,1,50,331.36,47846.4
1,43,0.05,0,0,-0.2,1,0,-0.190052323,-0.04,0,,316166.49,801867.22,104.01,47850.2,0.4,8.3,47241.145,-8.7,0.7,50,-409.84,47848.3
1,44,0.05,0,0,-0.3,1,0,-0.075373378,-0.12,0,,323874.97,799594.57,102.22,47850.2,0.4,10.6,47546.89,-9.3,1,50,-377.14,47850.2
1,45,0,0,1,-0.4,1,0,-0.084597289,-0.21,0,,328791.96,811594.38,106.48,48300.9,0.5,9.4,47734.697,-7,0.7,55,-31.61,47962.5
1,46,0,0,1,-0.4,1,0,-0.165981912,-0.286,0,,330880.4,820504.04,108.87,48300.9,0.6,8.1,48068.128,-5.9,0.6,55,34.88,48075
1,47,0,0,1,-0.4,1,0,-0.285411103,-0.301,0,,336717.35,818598.72,109.43,48300.9,0.7,8.2,48342.263,-6.3,0.9,55,-248.52,48187.8
1,48,0,0,1,-0.4,1,0,-0.440449601,-0.319,0,,341921.01,802413.31,109.35,48300.9,0.7,10.3,48721.038,-4.1,1.4,55,-716.13,48300.9
1,49,0,0,1,-0.4,1,0,-0.319551855,-0.328,0,,344638.38,823566.94,111.54,49190.2,0.7,8.9,48548.6,-4,1.9,55,-580.97,48521.7
1,50,0,0,1,-0.4,1,0,-0.41802198,-0.329,0,,347877.86,824601.35,114.24,49190.2,0.6,7.6,48803.551,-1.8,1.9,55,-239.8,48743.5
1,51,0,0,1,-0.4,1,0,-0.551074186,-0.33,0,,349208.75,805923.11,114.75,49190.2,0.6,7.6,49270.071,0.5,2.4,55,-461.07,48966.4
1,52,0,0,1,-0.4,1,0,-0.408500212,-0.325,0,,356911.78,802250.9,116.51,49190.2,0.6,9.4,49086.297,4,2.2,55,-854.56,49190.2
1,53,0,0,1,-0.4,1,0,-0.521096189,-0.328,0,,363403.82,815272.04,117.5,50250,0.6,8,49329.912,1.4,1.9,55,-590.78,49453
1,54,0,0,1,-0.4,1,0,-0.435082118,-0.321,0,,369900.22,823508.08,118.51,50250,0.4,6.8,49447.741,-0.2,2,55,-331.36,49717.3
1,55,0,0,1,-0.4,1,0,-0.185591932,-0.318,0,,370157.46,827890.97,120.37,50250,0.5,6.9,49331.656,0.8,2,55,-264.87,49982.9
1,56,0,0,1,-0.4,1,0,-0.275091502,-0.309,0,,383914.35,826080.48,122.18,50250,0.6,8.7,49569.712,-0.6,1.9,55,-864.37,50250
1,57,0,0,1,-0.4,1,0,-0.285129915,-0.328,0,,384712.23,840541.51,122.38,50362,0.4,7.4,49897.584,-1.4,1.8,55,-527.56,50278
1,58,0,0,1,-0.4,1,0,-0.263463552,-0.398,0,,388522.87,850367.86,126.4,50362,0.2,6.5,50064.245,-3.6,1.6,55,-130.8,50306
1,59,0,0,1,-0.5,1,0,-0.245275751,-0.418,0,,390005.27,871928.06,127.81,50362,0.2,6.7,50141.526,-3.7,1.2,55,-219.09,50334
1,60,0,0,1,-0.5,1,0,-0.245275751,-0.383,0,,402117.35,859081.32,129.81,50362,0.3,8.5,50242.024,-3.6,1.5,55,-281.22,50362
2,1,2,0,0,1.25,0,0,0.383712565,2.15,0,1136122.151,338663,,69.68,42994.36,0.5,8.6,51601.69,-2,3.07,53.7,1428.336,42412.8
2,2,2,0,0,1.25,0,0,0.355190743,2.11,0,1183413.218,343023,,71.24,42994.36,0.6,8.5,51737.94,-11,2.88,53.7,1547.691,42605.8
2,3,2,0,0,1.25,0,0,0.274978741,2.18,0,1192481.582,342587,,73.78,42994.36,0.4,8.5,52102,-14,3.17,53.7,1937.911,42799.6
2,4,2.25,0,0,1.25,0,0,0.524555127,2.49,0,1224516.791,359155,,75.24,42994.36,0.8,8.5,52484.59,-5,2.9,53.7,-310.868,42994.4
2,5,2.25,0,0,1.5,0,0,0.315458391,2.82,0,1243337.276,365913,,76.7,43782.14,0.6,8.6,52608.85,-5,1.69,53.7,585.875,43190
2,6,2.5,0,0,1.75,0,0,0.544099475,3.06,0,1253054.081,368747,,78.79,43782.14,0.4,8.5,52672.07,-2,1.86,53.7,1963.526,43386.5
2,7,3,0,0,2,0,0,0.954007163,3.42,0,1251155.301,372998,,81.07,43782.14,0.9,7.9,52727.66,-2,1.22,53.7,1848.64,43583.9
2,8,3.25,0,0,2.5,0,0,1.201696102,3.73,0,1331646.678,377031,,81.69,43782.14,1.1,7.9,52977.27,-8,1.63,53.7,799.951,43782.1
